,clean_fin_review
145,not comfortable not worth buying bad shoe online market buy
146,bad product inner material bad quality within month torn buy waste money
147,bad quality quality not good first time find shoe torn top upper leave drenched...worst quality price buy pair shoe local market
148,bad choice light comfortable use slipper far well normal slipper
149,not worth excite brand market veeru vrinder sehwag purchase walk run shoe uncomfortable even daily routeen walk cant wear hour two start shoe bite never suggest anyone
151,stiching quality bad waste money time early day stiching put cancel request amazon didn’t pick whereas it’s suppose return within month not buy product lose money time
152,not good product product durable all...the soul remove month purchase..do not buy...not good product all...am not able return policy return use warranty replacement
153,walk comfort use product past three month far soo good quality product really awesome attractive eyes.i really recommend product thank
154,well craftsmanship need could spend paisa per pair paste insole properly paste heel side not toe ide every time take shoe insole come toe side wrestle insoles put back place order prevent folding
155,quality less product quality not goodhardly son might use bottom solemight old stock quality less product
156,product may replica second time purchase shoe compare first time purchase saw color weight different first one thing product not asian genius product
157,bad really disappointed purchase can't give minus rating otherwise deserve minus
159,never ever buy product not sure people rat star product due company pathetic product indian people dont trust indian company buy imported good china country ever heard shoe bite sport shoe shoe give mere walking minute pathetic
160,small comfort ok hard not run
161,bad experience bad product
162,buy price well option available go campus
163,bad quality dont buy bad quality wast money
166,bad low quality product please buy dont waste waste money
167,bed experience low gualty
168,duplicate product not satisfied product duplicate product provide
169,sega shoe bad product not correct stitch open within month big hole.don't waste money product request
170,not comfortable shoe comfortable walk shoe like walk needle
171,badf bad fit thumbs_downthumbs_down
172,terrible poor quality shoe ever buy amazon don’t waste money avoid cost
173,waste prouct waste money
174,disguise image poor quality not worth product completely different online image poor quality would notice shoe design patch work cannot use day
175,poor quality comodissima
176,bad quality good shoe sport
177,"bad quality 



 shoes quality bad shoe damage automatically not wear much photo attach reference"
178,finish not good inner cloth shoe torn zero star not inner cloth shoe tear already length shoe large expected.zero star
179,low quality product cheap quality size shape different legs one lose leg tite low quality product
180,bad product product feel good quality would expect puma shoe could see imprint toe clearly move foot even little even though good fit
181,unworthy product tear within month bad experience use dad's regular jog get damage
182,not proportional design shoe narrow large number purchase last year number company model moreover angle rise right shoe high make discomfort walk use could not return use complete waste money keep aside
183,not durable complete waste money say sport shoe durable used month sole right foot almost disappeared.not durable complete waste money
184,shoe asian quality not good per product picture show amazon
185,local brand deliverd shoe deliver local copy brand campus not satisfy shose
186,second copy bad experience amazon
187,wrought product bakvaas result
188,purchase gre colour sole get white colour sole
189,poor product fit well superb feel comfort
190,one star useful
191,sole damage day dont like product
192,cheap quality cheap
193,product receive look like measure size outside suggest seller review size chart provide provided foot-length look give chart however product receive look like measure size outside
194,not good day start tear
195,quality control reject defective material sell online right shoe short leave one multiple defect finish look like qc reject material sell online
196,average shoe inner soul shoe start tear month's usage
197,"use month breck bad quality 



 very bad quality not sell market make consumer full material product"
198,bad product would give negative grading option shoe net get tored day amazon shud verify quality allow sell platform
199,copy product product good
200,"not fit buying shoe oct month,previously leg pain wear leg get pain due fitness"
201,size book shoe give size fitted footafter also book company shoe give size not fit foot
202,"bad 



 bad quality day use cut sole silai bad quality bad"
203,sole miss nice
204,poor quality poor service poor quality crack shoe top side decide next can't take product asian company kindly return money
205,product change get exactly think buy future
206,wrong product send ordered time receive wrong colour receive different size instead different colour black instead grey not satisfy
207,not happy low quality stink shoe tongue disappear week use
208,bad loss money like product
209,fit different fit one leg one tight luck get correct size
210,standard walk shoe good product
211,bad product nice product
212,standard walk shoe nicee
213,disappoint bad quality not aacept sparx.in singal day use brust inner side heel one walk give big bite leg heel ask return not able due lose pack box not able use waste money
214,bad size not correct order uk delivery number
215,disappointed poor qualitynot fit size describedits like road side footwear
216,quality not good ghatiya quality hai use karne ke din bad hi crack aa gaya sole mein month use karne ke bad phatne lag gaye use run
217,shoe sole make noise marble surface shoe sole make noise marble surface
218,"comfortable 



 very bad productonly use day uselessplease buy shoesjust washed time see condition shoe"
222,cheap quality bad quality
223,rating not good not worth buying sega shoe
224,improper fit walk not comfortable wear shoe fit not properso please refund money amazon wallet pay cash urgently
225,worst shoe ever purchase pasting shoe go within day use discoluration back shoe.lastly waste look cheap quality shoe well go sparx campus brand extra bucks.a big asian shoe
226,high price bring shoe similarity uniform shoe
227,product damage anad use dindt expect type product time gat not satisfied this..frowning_face️
228,not expect not good
229,buy product ye ru layak hai bad experience
230,"manufacture defect 



 there manufacture defect shoe wear time start immense pain upper portion toe abandon wear pain week time"
231,one shoe not good condition size shoe good one shoe not good condition.i already return shoe due shoe use box send company buy also not good condition compulsively keeping.not good experience asian shoe company
232,quality bad not setsfiy
233,thick foam prohibits free movement size small foam thickbuild quality good lightweight
234,local shoe local shoe
235,duplicate product dosen't seem orignal product seem duplicate one clearly sole easily come sole stuck shoe light glue.i order six instead pair shoe size come size write dont ever buy
236,"not good get damage piece,didn't notice begin small plastic cover toe not construct well sharp edge may responsible hole leave shoe"
237,poor service delivery packaging not good not service like item plaster paste corner box that's it...not even amazon cover present....very poor service delivery...even one shoe not properly stitch
238,avoid poor quality genuine feedback total usage day casual wear sport activity run still mesh torn poor quality even price
239,buy sell defective product seem kind first copy not original sell defective product seem kind first copy not original
240,"replace 



 average"
241,product not good not good product
242,waste product don’t buy it’s waste product sparx get dirty even without use
244,defective product happen time defective product send replacement.inner sole damage not fit properly shoes.price tag also miss
245,"worst shoe 



 this bad shoe's buy product not comfortable run go run receive pain leg size comfortable problem product"
246,one shoe old one shoe old dirty condition
247,poor quality shoe poor quality dont
248,collar size issue
249,sole torn within month shoe comfortable good look sole torn within month upset product
250,soul hard colour good soul hard not good run buy runner
251,bad bad
252,bad service product manufacturing defect even request exchange update
253,sometimes style poor quality
254,low quality shoe buy low quality material.teared within days.waste money
255,brand name quality lower street vendor bad campus
257,buy shoe not good quality tamper within month
258,bad experience amazon return item last still not get menoy west money still wait return money
259,not worthy not worth regular use soul flatten step
260,poor sole quality shoe good look sole quality bad
261,third class product third class product waste moneydon't buy
262,donot buy waste money hard sole cheap quality waste money sole hard
263,shoe shoe bad quality not good
264,not satisfied quality not mark not satisfy shoe due quality comfort
267,shoe hard insole not comfortable not comfortable
268,return shoe okkk
269,poor quality shoe get torn within month's time poor quality shoe get torn within month never buy
270,not comfortable not comfortable
271,shoe discount mrp value look wise also low type not happy quality
272,bad pair shoe ever purchase bad pair shoe ever purchase start pinch heel less month duration wear would not recommend anyone purchase
273,bad product quality product poor price sole shoe also low quality color also different show pic product ok
274,not comfortable low class material use not value money
275,"shoe chote 



 shoes chote"
276,shoe not comfortable shoe heavy weight totally money waste यह जूते ज्यादा देर तक नहीं डाले जा सकते भारी होने के कारण पैर दर्द लग पड़ती है
277,use product product use anddamaged product
278,quality not good especially shape good except shape
279,nakli maal tha nakli shose
280,"original 



 hi not good thumbs_down"
281,bad quality shoe bad sole quality
282,weast money diffractive product
283,product problem heat foot shoe bad experience bad experience uncomfortable feel
284,zala bad product colour different west money
285,defect product defect product reserve
286,face_with_steam_from_nose sad_but_relieved_face
288,use stitched item use stitched item
289,disghusting pruduct dont bye pruduct bakwash pruduct
290,bad product wast money
291,poor quality product poor quality product
292,like use one use bootm not wright
294,damage product waste product
295,"campus shoe duplicate 



 i receive campus duplicate shoe horrible experience not comfortable"
296,bad sole ever can't wear hour sole light hard pain start within hour so.cheap kind quality go shoes.worst product ever campus
297,bad feel deffrent intrrnal cuision
298,bakwas dumy shooh amazone product physical product diffrent.physical product like copy...and also refund amount deduct..so not purchase
299,poor product total waste money
301,one piece miss box one piece miss box
303,i'll's shoe product dislike product unuselees
304,awful cheap woodhave synonym would prefer recall
305,"reflecters side damage day 



 color nice fit ok ok quality low get damage day side see video want waste money buy product"
306,product not good product not good allready use product amazon delivery boy also rude argue
308,bad bad quality
309,poor quality poor quality shoe
310,not buy foam bad
311,not good product walking shoe come back.backing cushion nothing
312,low quality shoe low quality shoe
313,waste money not comfortable foot pain always
314,"good untill sole broken shoe please guide replace 



 these fit comfortably strength felt could use run casual wear one prefer low budget thing come go brand"
315,worst bad quality sole get ripped apart one month walking shoe look result bouth shoe amazon november today december disappointed please dont buy
316,not worth want money back bad qualityi like
318,need replacement dislike
320,experience knee pain recommend product waste money end doctor
321,receive wrong color order black color shoe receive white color shoesproduct good person pack shoe not right receive wrong color
322,bad product buy local market ka rupaye wala shoe isse achchha hota hai maine return process kiya lekin koi lene nahi aaya ultimately maine apne sweeper ko de diya
323,bad product not good
324,waste money soul less remove month less durability shoe unexpected asian companyunfortunately return date due neutral_face
325,"chipest price 



 not value money"
