,clean_fin_review
741,avg shoe avg shoe amaze colour small
742,not sport not good sport tore within
743,sole tore one month sole get hole within one month use not recommend buy brand
744,waste product bad product waste money buy
745,duplicate product receive product damn duplicate
746,poor quality please buy heavy
747,poor poor qualitybad product
748,not good small
749,poor shoe quality shoe sole tear month time poor quality waste ur money tine
750,"waste money buy please 



 it bad buy month agoand see big hole shoesplease buy waste money"
751,not satisfy good
752,bad quality bad poor quality buy one
753,amazon receive
754,genuine review not worth buying shoe seem make thin mesh material even glue visible cloth material not finish product thw sole dent one side mesh material loose seem last month order size small fit order return item day arrive
755,totally different size horrible experience
756,horrible day shoe extremely cheap quality product barely used day sole gotten flat mesh many scratch not daily wear tear honest opinion not buy shoe unless extremely rich travel car walk road not shoe day amazon return person think use product year poor quality adhesive completely go sole already come apart shoe.humble opinion never buy shoe not happen product honestly cheap could instead spend get excellent product sincerely think not product amazon recommend page even give warranty product would insane many replacement
757,poor quality poor quality packing not good
758,good quality good quality
759,poor quality poor quality
760,quality bad poor quality shoe
761,fake product great shoes fit perfectly man comfortable one exceed expectation
762,open pack dirty product old bekar pack h.size small
763,bad quality shoe not goodso return
764,poor quality not per image dislike poor quality not per image show
765,different sjhoe send show not send shoe send not gold star
766,already start torn form near lace shoe alreadt start tear near lace
767,colour size mi match clour brown size want
769,not ok earlier buy shoe perfect time buy pair color size slightly tight foot since bore pair complete day return not uncomfortable comparison previous not perfect comfortable
770,buy get used product highly disappointed
771,fashionable shoe not walk run good quality product economical prize
772,not expect sparx not fitting nice
773,use product not comfortable
774,not good quality leg not item seller send wrong colour order navy neon orange get blue silver.but quality fit product expected.if happen directly call amazon helpdesk get replacement
775,west money fit nice
776,cheap amaze product premium look shoe
777,not value money like comfortable
778,not original product price tag worst fit
779,dirty product good valuable
781,right one fit perfectly leave loss defective peacethumbs_downthumbs_downthumbs_downthumbs_down excellent
782,receive order good order green exchange get red like
783,"use item 



 i purchase product inr excellent price fit good light weight quality material comfort look excellent"
784,quality product bad material use shoe bad sir not like shoe not sole inside whether address duplicate not not know bought shoe puma first time return please put money back bank account
785,pick service poor shoe size uk star gold size small running
786,verry small size retan teking itam iam aplide fellos not come not take item use
787,size not proper quality nice fit color not properly organize
788,not recommend buy cheap quality material use zero comfort
789,not think would get puma shoe sir not like shoe not sole inside whether address duplicate not not know bought shoe puma first time return please put money back bank account
791,poor sole quality bad quality not buy choose another option
792,awful quality insole come second day point unwearable
793,bad product bad product buy product wastage money
794,waste company waste
797,sol not good soal not good
798,wase money
799,small small
800,bad quality product poor bad quality
801,low quality shoe bad
802,poor product not good expect
803,return size not fit narrow tight
805,first copy shoe quality not expect look like first copy
806,not high quality quality not good get tore use day
807,shoe quality not good shoe
808,sole quality soft bad sort gravel get soul easily sole quality soft worst
809,not value money lowclass
810,disappointed amazon service bad product quality thought need go one size didn’t buy son like
811,like cheap rupee sale shoe great shoe comfortable immediately break-in required far best fit comfort new shoe ever try
812,shoe make noise walk irritate emabarassing great product comfortable durable
813,pathetic quality second pair buy comfortable lasted work month cheap time begin rip front seem shoe within month expressionless_face reorder see new one go time around
814,like cheap rupee sale shoe dry surface great shoe comfy rub even morning dew grass tho sock wet quickly try water-repellent help seem give little time grass would nice box
815,shoe make noise walk irritate emabarassing search good work shoe i'm event coordinator i'm non-stop foot look something comfortable yet not ugly shoe nice look extremely comfortable can't say enough comfortable purchase can't honestly say durable puma they're know make well far i'm impressed
816,poor quality not expect puma ist super bequem passt einfach perfekt
817,first copy boyfriend love pair really nice shoe super comfy work deliverly great
818,not comfortable walk not comfortable
819,not think would get puma shoe gefällt un
820,poor quality not expect puma bad quality shoe unfit edge strechable like shoe
821,bad quality shoe badcquality
822,class class quality
823,"buy..very bad quality..rejected one fully waste money 



 means use carefully"
825,product not good show image dissatisfy
826,bad one recieved damage pack shoe box also damage return parcel
827,poor not durable mesh shoe tear one month
828,"bad quality 



 very bad quality tear two month"
829,bad bad quality foot wear
830,bekar light weight comfortable
831,not durable expect get product april expect atleast year performance good.but recently find get torn right small finger place.so disappoint
834,not good not sturdy moreover heel side flexibility miss
835,cheap quality order blue color get brown color cheap quality
836,finally return refund return replacement.retured refund receive replacement not fit comfirtanlly
837,waste time not look good enough
838,another fancy shoe sole wear fast run road/trackvery flimsy flexibleconvenient wear jog
839,size issue plz provide shoose comfortable soft base value money blue color look beautiful foot feel comfortable walk run
840,not good product grade product expect much good price bit high quality comfort make
841,bad product bad product
842,shoe lace small one shoe lace small difficult tie
843,waste shoe waste productmy son wear within day shoe tornwaste pls dont buy
844,not worth price box come damage condition shoe finish good initiate refund request
845,duplicate product duplicate product not house bata return product buy guy make local
846,third class shoe third class shoe
847,shoe lace small tolles material sehr bequem
848,another fancy shoe love shoe
849,product small product arrived time thanks amazon product fit bit small expect quality seem fine
850,thin sole buy shoe book run purpose fitting perfect light weight downside sole shoe start get thin within month
851,cheap quality shoe price range buy shoe online shoe cheap quality price disappoint second time buying shoe online buying shoe online go offline store see quality woooooooooo amazon seller
853,cheap quality cheap quality
854,not mark product nice sole weak
855,good purchase size get size
856,send different color product without communicate customer expect different color lace cut quality comfort not upto mark think keep shoe nothing good seller neither customer satisfaction receive wrong color damage product(cut lace also product quality not mark sorry disappoint
857,bad product receive ok not order completely diffrent product picture order really not not happy service request return still not happend week bad product
858,fake description box detail not match description amazon.no shoe box also less order tight fit
859,lack quality sole come within two month use
860,disappointed pair different size shose material bad quality
861,waste money not good
862,tight fit not comfort
863,quality not good steaching not well dislike
864,small hole don’t buy like good product low price
865,poor quality gatiya quality ka prodect hai niche ka base bi uncomfrt hai overall bed prodect
866,"poor quality product get product break boxnot water proof product,used water sock get wetlike return get money back"
868,shoe shoe
869,"break shoe day 



 product bad"
870,sole torn sole bad within month sole torn badly
871,"bad quality 



 very bad qualitysir"
873,need money amazon pay need money amazon pay
874,not good not comfortable
875,order almost month news buy one luckily home send back poor coordination
876,good nice
877,purchase bad product
878,poor bad product
879,not good quality not good quality
880,quality poor not orginal shoe
882,waste money not worth waste money gum open side
884,good good per price
886,not good product dont like want money back
887,bad quality shoe pathetic cloth inside shoe come
888,poor quality quality not expect
889,waste money waste
890,need donate money pls buy trase write review week use son not worth buy quantity poor show picture look good actually poor quality want donate money trase please buy otherwise even waste time money
891,size uk fit inch foot size size not per standard
892,"disappointed 



 low quality edge not well fix"
894,want return product want return product
895,duplicate product duplicate
896,poor quality product wear gym month light comfortable easy wear can't wash shoe mean rough use regular use out etc
898,zala bad product colour different west money
899,poor quality product look good picture comfort level peek happy paisa vasool
900,reject not bye
902,size small want replace shoe nos
903,fake item never buy fake product
904,per image not receive per order soul black receive soul white
905,uncomfortable small uncomfortable
906,show picture shoe sole white colour reality totally different
907,waste money local market ablable small tight adjustable mrp delevery become arise qustion seller market ablable discount wastage money
908,price good product price range good product
909,left right leg size mismatch number equal leave right leg size not equal number worried_face
911,product bad damage ho gaya
912,bad quality totally wrong product friend
913,bad product bad product quality size problem also
914,not color shoe color gray white not color sole color white
915,different color sole show picture product show picturealways come different color sole
916,"mistick product 



 your prouduct mistick"
917,bad quality soal shoe enlast month
918,bad bad thumbs_down
919,gum stain poor quality size bit small gum stain around quality poor similar road side
922,not upto mark sizewise good look tight fit even get size big still side way tight less chance air flow disappoint shoe
923,buy product please buy quality bad
925,"not original power shoes..very bad amazon break trust customer 



 it not original power shoe finish show everything..very bad amazon break trust customer"
926,bad quality sponge cover shoe go bad day
927,fit shoes.please return item fit
928,irderes uk get eas small
929,bad quality bad quality not like original puma...very disappoint
930,poor quality active kid get worn front time use may price longer get durable product
931,bad product cheap material month get hole sole shoe bad product cheap material use full grip go waste money
932,bad quality torn month shoe bad quality sole inside torn month time
933,wrong description w.r.t size shipper not know difference wrong description w.r.t size shipper not know difference not happy take time nothing
934,size shoe order half year old son select size yrs much much large size
936,not worthy sport shoe shoe bad quality durability product feel like junk quality recommend buy trase product kid family sole build bad quality material worn month's time
937,cheap quality cheap wash whenever son wear stink lot coz sweat wound arises.....he never get sweat shoe....this first time
938,worst quality.this not expect amazon shoe fit good quality poor torn day use.i place return request one come yesterday place request cancel current request return pickup deny delivery guy box right product fit good torn day want refund
939,two time shoe torn bottom within month bad quality shoe not last beyond month buy twice late may time quality bad get torn within month bad quality shoe
940,fake product not sure product retailer genuine not use exact shoe purchase year back rs bata showroom size worn decide purchase product available online amazon price per size confirm order deliver shoe tight surprised wearing shoe last year replacement order delivered size fit feel comfort not comparable previous shoe purchase showroom satisfaction get cheap price definitely not bata/power original use day could easily feel grade sole quality
941,incorrect ad headline pathetic quality proper men's shoe not kid shoe pathetic quality
942,defect shoe vendor send order second get defect product book order show deliver within order come one week regular follow defect product time order shoe bad experience would better go store purchase
943,not original power shoe quality not original power shoe make locally gum visible clearly return without use quality also not good
944,quality deliver receive used dirty repasted product disappointed
945,not satisified not satisfied delicate
946,not happy quality product cushion sole poor quality quality copy not originalplease remove product amazon seller also
947,likely duplicate show uncomfortable poor quality material duplicate shoe
948,stitch bad stitch bad
949,negetive rating duplicate piece shoe glue side ordered return duplicate piece send again.please purchase footwear site
950,folded_hands shoe different size return
951,worst ever product product duplicate fraud day usage becsme useless
952,"shoe finish bad like second shoe 



 this shoe bad quality product power esp pair like second pair finishinh quality zero comfort"
953,outer fabric torn glue spot quality issue quality compromise outer fabric torn glue spot right foot shoe
954,return not pick slat june size not fit
956,buy bad cheap product price look like shoe sell footpath buy
957,old item receive good
958,bad bad
959,one star good not satisfied
960,bad quality poor
961,not good color color different
962,quality product bed experience dislike
963,quality not good not expect brand upper part shoe damage day go sparx instead campus quality not good compare price purchase local shoe not purchase shoe
964,"campus shoe 



 campus name market high butquality not good poor quality front side top not stick proper"
965,yuse one month not good product
966,not good quality quality material use shoe not good shoe tear-off first second use two turn even say
967,waist shoe bad quality dislike shoe bad quality
968,bad quality shoe bad quality shoe duplicate product
969,one star nice shoe perfect fit lase quality poor worth price
970,not durable use day right shoe already tore not preferable run
971,"shoe sol break use month plz replce 



 sol break replce"
973,bad quality shoe get torn within month purchase company neither return replace
974,not comfortable
975,nice nice shoe
976,product foot quality show picture product not comfortable wear carry long check get leg ingery delivery boy refuse accept chackw product check quality product order different shoe good quality please accept te order needful
977,bad cheap quality shoe bad productsecond maal give sellerdon't buy asian shoe amazon seller
978,tear within month use bad product qualitteared within one month use
979,bad product buy bad product seem show image colour shoe different image show size also small overall bad thumbs_downthumbs_downthumbs_downthumbs_down
980,receive different style sole black picture receive white sole one still like style keep
981,mislead sale order greyish black shoe full black red graphic side get grey white outsole shoe not even available list clear colour stock availability mislead buyer
982,quality shoe sole not good quality product bad....the sole get not withstand day jog get consume badly bad part warranty day date sale.i buy jan start use march mid year not cover warranty prime customer amazon take care not sell product portfolio need immediate response amazon
983,not meet expectation purchase see look shoe error size wear campus shoe fit always wear campus shoe first online shoe please go shop near purchase campus shoe may get discount print rate always get discount campus shoes.i get shoe rs suggest purchase product online
984,"different color reaceved 



 disliked colour"
985,purchase product damage month please not purchase shose purchase damage month bad shose shose life less
986,buy waste money waste money shoe say buy product amazon...they send duplicate product..this shoe tear front within month without run use.....amazon product coustomer service bad
987,day crack create leave shoe totally fraud within day shoe totally gutted toe shoe totally damaged waste money
988,"duplicate shoe not campus proper brand 



 duplicate shoe not campus proper brand"
989,"without tag dilevered shoe 



 without tag shoe want return back"
991,sole white sole white
992,not good fit good litevweight best pricehoping use let see
993,bad product order one model supply low quality pay superior one not best value money
995,leather quality not good also size not match mention leather quality not good also size not match mention
996,wrost product not long term use day's ussage star break
997,old shoe
998,receive defective shoe purchase size shoe find slightly different size
999,bad product material blister toe minute wear
1000,bad month gone...and shoe bad condition....pouting_facepouting_facepouting_face
1001,quality must customer shoe tang break month soal leave uppar shoe not happy brand quality
1002,wor rest product look like old men's shoe quality also soooo poor
1003,bed one month use bed expense never oder brand shoe
1004,"receive defective shoe 



 i not like product quality poor"
1005,catch dust get dirty soon...it catch dust like magnet
1006,poor quality not suggest buy purchase back use not happy sheos compatible comfortable dont suggest buy
1007,dont buy dont buy thiswaste moneyam use monthssole dameged hole come frind bottom
1008,"bad 



 product direct hai not comfortable"
1009,soon damaged month normal wear get damage not worthy
1010,quality lower show picture bad quality printing shoe poor quality lace
1011,"diamage leave side tip small kid hole 



 on leave side shoe tip hole basically diamage shoe order grey sol give shoe white sole product not satisfy"
1012,"duplicate 



 all duplicate maal becha ja raha hai online"
1013,poor quality poor quality scrach within day purchase not good daily use
1014,low quality product paking not good bad quality product
1015,bad product buy day brake bad product seller campus totally waste money
1016,"dont buy product not match give picture,i order gry/org sole come white sole product manufacturing date"
1017,poor quality within month usage top cushion tear within month usage top cushion tear buy bad product poor quality...never ever purchase product campus
1018,im purchase order two time matarial quality not good febric not good see pic situation day wear regularlyim not sericfide brand more.thank
1019,need refund transit shoe destroy may rat though return due networking problem courier keep item
1020,amazon send wrong size product nice comfortable quality good amazon send wrong size order pair pair send amazon.very bad service amazon
1021,good product cmfartable
1022,wrost wrost
1023,low quality product low quality product deliver
1024,hhh show picture complete different real heavily disappointed
1025,"waste money bad product running,it pain long run finger toe part front part shoe not flexible walk not fit long run"
1026,bad buy get crack not less month cheap material use never recommend buy
1027,quality bad.lowest quality
1028,poor totally different defective
1029,rubbish bakwaas not high price product not expect much overall good bit hard
1030,poor quality check tongue leave shoe longer cause discomfort exchange stitch not good not quality check sell online product fail quality check
1031,wrost product totally damage shoe poor quality request asian company please good quality shoe provide market not proper water proof shoe wrost product please amazon sale poor quality product.i request customer product please buy thanks amazon
1032,fit issue fitment toe slightly uncomfortable
1033,bad shop experience first product colour different show website secondly shoe not properly stick sole guess want return product return product also order useless shoe shame
1034,substandard quality quality shoe turn substandard within month use shoe upper material start crack afraid day become unusable vendor must compensate poor quality
1036,mismatch least cms difference actual size shoe good quality shoe light weight durable
1037,"month use 



 bed qualitynot comfort"
1038,worst shoe low quality not worthy buy.trh buy another shoe instead buy
1039,not expect extremely disappointed shoe come extremely disappointing packaging anyway comfort ok quality not per standard price inner part shoe come opening package want refund please
1040,bad experience not run cushion quality bad first use get misplace spl heal position
1041,waste time amazon light weight average product price
1042,month usage review product good range okrelieved_face.but sole low quality
1043,horrible package damage product check picture shoe cut back amazon packaging tape around brown paper say amazon poor quality
1044,bad product light weight shoe work bad husband's shoe bend hour look like handicapped people shoe
1045,faulty design waste hard
1046,even think product poor quality...very much dissatisfy
1047,low quality bad packaging low quality shoe extremely uncomfortable
1049,hopeless not premium look show advertisement local market provide good quality shoe less price quality
1050,worst shoe buy bad shoe ever bought.don't buy it.bad quality not even last week
1051,never buy amazon best work comfortable use light weight excellent fitting
1052,totally appreciate first buy one size shorter shoe think would fit size wrong replace large size
1053,fit small nice product worth money
1054,dont buy poor quality actual dont look picture product look like cheap comfirt nothing like slipper hard material use inside upper colour layer look like plastic shoe
1055,product defect shoe damage updated image sole open places...and can't fix glue not even stitch
1056,buy total waste comfort feel like wear cement shoe buy inr total waste
1057,poor quality product qualitu poo
1058,last long last long sole give way first...poor quality
1059,non sense service amazon....such bad service light real world
1060,poor quality shoe tourned month though use walking popr quality
1061,bad waste money
1062,not ne amazon pathetic product even warranty use
1063,brand selling use shoe
1064,small difficult use good product light weight good quality important thing fit expect thanks amazon
1065,nothing well total third class productbad experiencetotal spunch fabricnothing good product
1066,poor quality good
1067,grip shoe not good grip sole not good vanished day save get slip
1068,paste not good paste not good pastingcomming month
1069,quality comfort good
1070,poor quality item poor kondetion
1071,comfort comfort bad shoe ever wear shoes....my muscle press continuelly
1072,product lossing color first wash
1073,naam bade aur darshan chhote first small comparison standard size get replacement use pair make fool consumer replacement
1074,exchange product bad....colour not good...sol tough...very bad exchange product bad....colour not good...sol tough...very bad
1075,third grade quality order watchman week sole start crumble
1076,average quality price less light product comfortable little tight wear quality not good
1077,not market sole not good grip
1078,bad quality cheap quality well buy good product
1079,waste money good
1080,shoe size not overall quality good quite light size somewhat small expected.the delivery product amazon fast always
1081,bad quality look like old use want return urgent basis return money bad experience feel fraud type totally different original image want return money
1082,charge extra money not worth honestly hate i've order gift wrap cost extra money come gift wrap thr actual waste money i'll complain
1083,bad product lot smell come shoe bad size fit not much good show website size fit irritate leg size inch not correctly fit lot smell come shoe i.e paint smell low quality product
1084,need replacement small
1085,bad expect product look good quality pathatic quality sole not good difficult run wearing shoe
1086,bad service bad product
1089,cheap quality buy totally waste money
1090,totally wastage money rubbish material
1091,material material not good
1092,nothing not good not daily use
1095,bad fit good small price
1096,bad tear two day dislike
1097,not good quality product bad quality soul plastic prise costly think product prise compair quality
1098,duplicate not buy anybody cheat waste ofmoneyam expect colour picture deliver item white blue look like locali think not asian duplicate
1099,"cheap shoe 



 not good shoe make cheap plastic price also high compare shoe"
1100,deliver damaged product deliver damaged product dont buy not comfortable not worth
1101,bad product bad product buy total waste money
1102,"bad third class product cheat show different one send different product 



 worst product bad experience buy upside-down_face"
1103,receive defect product
1104,extremely less price shoe offer high range
1105,not good look difacted itemshapeless
1106,colour mismatch request supply item demand well choice colour
1107,water proof quality product product mention water proofbut item not water proofif loss moneychoosing alternate product
1108,sole not paste properly sole not paste properly share pic check rply soon possible
1109,not comfortable uncomfortable tight
1111,proper finish lack product okay product neither like product much product okay use
1112,nice product overall good product
1114,fake product hai dislike product fake product size small
1115,day not satisfied day not satisfy
1116,poor quality check tongue leave shoe longer cause discomfort exchange stitch not good not quality check sell online product fail quality check
1117,local brand well asian shoe not comfortable complete waste money shoe develop crack several place non repairable.decathlon selling well quality shoe price
1119,"neverthis product not waterproof not waterproof claim foot sock drench water play golf water start seep start hole.can return product,as use once?please reply fall claim make sell product"
1120,poor quality product qualitu poo
1121,small fit per size shoe small fit spook joy
1122,heavy heavy
1123,good bad quality bad quality
1124,look like duplicate product look like duplicate product poor finish quality lot stain sole never buy seller
1125,good indoors paisa barbad bc buy
1126,donot buy buy not worthit
1127,size not true box say size say size state box way lower paid.can someone explain
1128,fake buy shoe replace coz receive large size order get big size trust never waterproof lie
1129,big purchasing product product quality poor hole make fit lash fasten give comfortable usage get torn day usage extremely disappointing product sparx mistake not use product receiving could trace flaw within limited time period alotted return totally state helplessness frustration rarely happen trusted brand true grudge amazon marketing business one suggestion provide platform marketing deserve every case fradulence whosoever seller amazon trust customer lessen bit thank
1130,wrost product totally damage shoe poor quality request asian company please good quality shoe provide market not proper water proof shoe wrost product please amazon sale poor quality product.i request customer product please buy thanks amazon
1131,totally different look size product different website show brand size large
1132,"bad product 



 very bad product"
1133,cheap material woruht product buy
1134,size fit even size small fit person wear size shoe want return order
1135,"use product bit late brisk walk within day side sole start remove 



 not happy product quality"
1136,buy bad product buyi purchase size also not fit
1137,product quality bad dislike product
1138,horrible product item not goodwithin one month sole shoe torned off.very horrible product
1139,rough quality shoe heavy weight
1141,waste money totally waste money
1142,heel ankle pained wear shoe not suitable daily use wake high heel shoe not suitable daily use walk use woodland alen cooper asian brand shoe shoe ok daily use walking
1143,never expect kind product amazon like product
1144,dont buy smell bad even use day....very bad experience product smell bad use one day bad product dont buy
1145,cheap buy
1147,fit issue cushion inside fit issue..very tight front part foot cushion inside shoe not recomended
1148,material not good
1149,size not expect quality not good even brand shoe cost little go buy cheap one
1150,poor quality completely uncomfortable campus really manufacture shoe local shoe would much much comfortable well
1151,not happy product not good
1152,one star return policy show litteraly get damage first use return not pick use
1153,bad class product
1154,damage sole crack
1156,quality product bad wrist quality product bad quality product break up layer days.i never want product aga
1157,amazon send defective product defective product
1158,qu quality not good showing image
1159,"unsatisfied 



 unsatisfied want refund payment"
1160,not satisfy shoe not good run provide thing mention description shoe get totally watery used rain
1161,sole shoe sole not good felt disappoint
1162,colour different pair pouting_facepouting_facepouting_face product not look like original price tag
1163,bad quality expect bad quality product house liberty shoe day use shoe lose shape totally useless
1164,customer satisfaction size chart ok fitting not properly product good size not properly
1165,not worth good design colour poor material soul side profile use sleeper shoe sparx comfortable
1166,purchase day's back shoe crack come day's purchase day's back shoe crack come day's i'm much expect expections go
1167,material bad don’t buy not good
1168,bad product light weight shoe work bad husband's shoe bend hour look like handicapped people shoe
1169,not good not good quality
1170,bad cheap low quality uncomfortable
1171,shoe not comfortable shoe not comfortable
1172,bad quality bad quality
1173,duplicate product poor product duplicatereal amazon pic shoe pic mentionvery bad
1175,quality shoe dislike quality material use product.....as provide much comfort aspected campus shoe
1176,bilkul bhi acche nhi hai bad hai
1177,uncomfortable shoe plz buy faced ankle pain bakwas plz buy
1178,bad quality bad quality order cloth shoe recive plastic shoe
1179,bad quality within month stitch wear bad quality within month usage stitch wear certainly not water proof materialbrand need win trust customer quite definitely not go use sparx anymore
1180,shoe not gud not like not
1181,fake description box detail not match description amazon.no shoe box also less order tight fit
1182,misleading picture bad buy ever pic mislead seller post actual picture original product bad complete different look waste money
1183,product bad thumbs_down product low quality buy product
1184,fill bad bad product
1185,bad colour fad bad experience finally get shoe...no replacement find different colour
1186,"product daimes 



 pasand hai"
1187,bad experience bad quality buy inferior type shoe not wear properly one month shoe explodespouting_facepouting_face
1188,bad product look like image bad quality please go look like price please dont go
1189,bad not mark
1190,bed product product bad
1191,serious size problem brand shoe size generally brand fit well order shoe size small exchange size also tight toe think serious size issue brand
1192,"buy..very bad quality..rejected one fully waste money 



 means use carefully"
1193,not comfortable not comfortable hard
1194,bad active cell logo not same.campus logo not give tongue shoe
1195,defective product not good defective item
1196,duplicate shose not origanal campus shoe poor quality not origanal duplicate shose
1198,material poor quality sole not good
1199,purchase purchase bad shoe skid sound
1200,avoid ppl broad foot dislike bcoz brand fit issue
1201,"poor quality product get product break boxnot water proof product,used water sock get wetlike return get money back"
1202,slippery sometimes feel slippery ok product
1203,poor quality comfort fast delivery right side shoe tilt leave side fell not good not company fault saller mistake give bed one good luck next time return item item pick ecommerce man refund issue hour's good not relaybel shoe also good not everyone thenk
1204,finish bed bed stiching bed product
1206,campus shoe finish quality not well angry_faceangry_faceface_vomitingnauseated_face
1207,horrible package damage product check picture shoe cut back amazon packaging tape around brown paper say amazon poor quality
1208,substandard quality quality shoe turn substandard within month use shoe upper material start crack afraid day become unusable vendor must compensate poor quality
1209,hopeless not premium look show advertisement local market provide good quality shoe less price quality
1210,poor quality not good dont buy product heavy weight nd not comfortabl run
1211,third class product not per expectation bad product sole removal start within one month
1212,width product small quality good product small compare size shoe
1213,not good colour change shoe good coming delivery change colour
1214,sub standard size important review month usage need wash every week look dirty use every day walk front net get pale even wash twice buy
1215,bad purchase soft sole
1216,bad shop experience first product colour different show website secondly shoe not properly stick sole guess want return product return product also order useless shoe shame
1217,smell bad bad achcha nahi hai isme smell bahut hai maine sock bhi change kiya haa waterproof hai uska fayda kya tightness hai wo comfortable nahi mil raha mujhe mujhe comfortable chahiye isme bahut smell aati dont dont buy anyone
1218,not comfortable size small
1220,ok shoe design strip shoe start come first use
1221,bad thumbs_down
1223,cheap quality product iam not satisfy quality low quality
1224,start break day it’s not even day start break shoe first time disappointed sparx shoe
1225,asian painful shoe foot it’s painful shoe foot don’t know it’s give pain walk bad wear hardly time asian company something please feel free contact waste money
1226,bad experience tatti pile_of_poopile_of_poo automatically fungus like dot start grow whenever shoe touch water say wash shoe experience like gutkha spit like scar..whereas eat gurkha
1227,size shoe different one shoe tight one loose love sneaker fit expect shipped quickly super comfy stand concrete day
1228,bad product quality not well select recived
1229,not satisfy love shoe different color
1230,persevering_face comfy
1231,quality not good good shoe
1232,poor quality poor quality
1233,poor quality poor quality
1234,not worthy price stitch not proper pain side foot fo not suggest go shoe
1235,elastic not stretchable enough buy shoe mom foot crack issue love especially comfort provide feel light weight without second thought buy another shoe brand also turn sooo good
1236,bad quality bad use product
1237,"worst shoe 



 don’t buy useless item it’s wastage money cheap product vain october ko mangaaye aur agli nhi aai abhi lekin uski halat dekho"
1238,"get broken shoe disappointed_face 



 the shoe broken use disappointed"
1239,"pathetic quality tear within week see pic 



 you see pic video.delivered wear week.please needful compensate customer please bring bad name amazon seller.please take appropriate action customer satisfaction.thanks"
1240,not bad product not bad receive different colour
1241,delivery late bad shoe stitch open deficit
1242,quality not good quality not good steching miss
1243,soal quality poor soal quality poor
1244,worst shoe poor sole quality poor sole quality zero grip even room flooring
1246,useless product shoe work best tried brand pay pair get either hip pain planter foot run trainer recommend try lightweight cushy i've run mile every day week not single problem i'm buy two pair today
1248,not fit pls take back size small
1249,not good look picture love
1250,bad product great product arrive expected
1252,wastage money wastage money shewag picture good
1253,cheap quality perfect model fit fine price excellent
1254,larg size rey comfortable
1255,bad cute large heel area strange fit shoe
1257,not worth comfortable shoe ever love themsmiling_face_with_smiling_eyes
1259,quality also bad comfortable fit well
1260,bad quality bad quality
1261,size small quality poor
1262,not good not bad average bad material..im disappoint
1263,fake asian get torn one
1264,produce bad produce bad plz refund money
1265,sole get crack within month not worth buy quality good sole shoe crack within month
1266,heavy sole sole heavy
1268,use product give replacement order
1269,buy not good damage month use onlylong cut shole
1270,comfortable shoe vary nice look comfortable
1271,defective shoe one piece pair defective find previous order well please return refund payment
1272,bad shoe shoe bad din shole nikhal gaya
1273,order grey pair shoe get pink one not even comfortable order grey pair get pink one not even comfortable one size different
1274,cheap quality product not markfit sizeand quality not goodwastage money
1275,poor quality poor quality
1276,bad bad worst sneaker good fit kid love
1277,not good go
1278,quality comfort not per standard best shoe price
1279,poor quality not good money waste
1280,cheap quality product fabulous shoe look like nike's comfortable hop memory foam yoga-stuff instead yoga-stuff okay not comfy memory foam go-walks still incredibly comfortable foot hurt wear kind shoe skechers also weird possibly tmi foot never stink never reeeeeek wear i'm not sure material uh wear thick sock
1281,quality low like product dislike
1282,beware seller appoo trading please buy rat appoo trading seller sell cheap copy product come without out cover!kindly watch
1283,"product quantity not good 



 within week damaged...i use morning walk"
1284,doesn’t compare brand uncomfortable
1285,small fit small foot
1286,different color different color
1287,amazon take care delivery item purchase white color...but get shoe white color...so disappoint
1288,quality quality problem stitch break
1289,exact size not deliver exact size not deliver size deliver place size
1290,not good outdoors not good outdoor
1291,bad product buy product big mistake really bad quality day use shoe useless sole totally broken really regret product
1292,size issue issue size little bit large.i want small sizei want returnget new size
1293,small really liked shoe look wise foot size really struggle wear bit tight wear think get loose later also bite finger wore long time sole cushion
1294,large compare foot size quality best
1295,non flexible sole not suitable walk material not soft sole hard not comfortable walk recommend.the cheaper price shoe brand well
1296,not per size one big one small size print size
1297,expressionless_faceexpressionless_faceexpressionless_face like quality
1299,used product receive used product receive
1300,disappointed great shoe breathable light problem run
1301,shoe expect not like large not comfortable like prodect waste money
1302,duplicate product look like duplicate product dwo day use brand tag worn become caus
1303,heavy uncomfortable give pain foot get damage product one big one small one damage use one
1304,buy bad cheap product price look like shoe sell footpath buy
1306,worst product use shoe month big hole sole disappointed_facedisappointed_facedisappointed_facedisappointed_face
1307,size not comfortable order receive one retrun order small
1308,like bring size uk large bring uk small
1309,pay four get one affordable
1311,quality third class yes.....value money
1312,"low quality 



 very low quality"
1313,quality third class nice product tq amazon
1314,not apt size nyc shoe
1315,bad quality use day crack front top leave side
1316,bad quality angry_faceangry_face bad qualityपैसे बर्बाद
1317,product quality not good accept not good product grinning_face_with_sweatthis product quality not good accept
1318,waste money buy waste money.the shoe first heavy not comfortable sound walk total waste
1319,sell factory detect item sale bad service...i receive defected campus shoes..now return shoe refund amount instead replacement fee shoe prise sale defect shoe
1320,bay shoe damage day
1321,"road par bethe mochi se bnwate ho kya ye 



 size quality dono bakwas hai"
1322,hard sole everything okay sole hard return product
1323,bad product strech shoe lace buckle stich open not quality product
1324,buy poor quality product
1326,not good picture actuality different
1327,damage product check patch shoe lease damage please product acchi tarah se check karke bheje nahi toh next time return kar dunga shoe lease damage
1328,quality not good quality not good
1329,bad product shoe size short shoe size largefolded_hands also use product fitting also waste totally
1330,buy lo local manufacturing not good expect
1332,pay four get one fiting good
