,clean_fin_review
5128,sole not proper grip though shoe comfortable mesh well sole material good sole not proper grip slip smooth surface like vitrified floor tile etc also risky climb railway bridge hurry
5129,good product like style shoe fit properly expect
5130,not best bad shoe not bestsol weak rough product quality
5131,good shoe order black shoe receive white shoe time return shoe i'm travel couple day overall quality shoe good
5132,"not comfortable not comfortable walking.heels soft,so feel tired walking.toes also itch thumbs.lases short"
5133,nice may comfortable
5134,good product good expectation not reach
5135,good good product need improve quality lace
5136,not regular use complete match clothes tremendously light weight quality great show not comfort
5137,colour differ waighted not true size tightty could light weight
5138,order different sole get shoe another sole glue use shoe visible everywhere not proper finish dirty open pack not proper box even glue sole shoe light weight comfortable use buy workout purpose issue not affect bad not professional way deliver maintain good quality
5140,value money hard insert foot inside shoe upper hole small look like wear pant could better shape
5141,not durable bourge good daily usage
5142,item ok item ok
5143,average i'm not satisfy order....ordered size get size price range well buying product
5144,always last month regular us last month good look though
5145,uncomfortable wearing shoe easy wear thin leg good product
5146,not worth money honest shoe quality not fine all.recieved shoe nicely bit size smallno comfort all.sole not stiched nicely within day come out.i recommend not buy
5148,not good quality like colour design quality shoe not feel like attach cloth glue whenever remove shoe call kind cushion come not fix properly shoe
5149,worn month get loose torned use workout month
5150,average product honestly shoe not run work anything hard core buy go take dog walk slide slide back home worth price light activity
5151,not perfect product morning walk not perfect product morning walk
5152,try something else fitting ok.material goodcomfort okthe problem shoe cushion back run walk feel uncomfortable heel
5153,early delivery product thumbs_uplight_skin_tone receive product early thumbs_uplight_skin_tone light weight shoe look worth price not expect high brand quality work know usage
5154,not worth could better price range seem little costly give material
5155,not per expectation product not mark however colour design term comfort size not good material use shoe not good
5156,finish not good product look good good day day use yes product finish not good easily visible anyone price not justified finish quality
5157,"product quality not good different pic 



 there gum stuck right shoe front quality not good expect even though low cost back grip not fit hold foot not satisfied product"
5158,sole memory foam well comfort shoe great enough day day wear light weight comfortable sole memory foam well comfort thank
5159,shoe not orginal adidas shoe first copy original shoe shoe original.its first copy original shoe
5160,decent comfortable match school decorum get dirty easily expensive look
5161,comfort not comfort per brand name however well local product
5163,bit excess tapering end see durable usi
5164,comfortable everything good packing winking_face_with_tongue
5166,recieved wrong colour order navy blue recieved black small stain pink part shoe fit perfectly order size fit perfect would give rating
5167,comfortable best workout good quality product
5168,ordinary product like light pair good color combination.dislike fabric thin fragile like sock materialii cushion ankle hem
5169,"good product...at price 



 i use last two week easy wear fine comfort"
5170,average product consider price inside cushion miss can’t use hour due fitting average ok consider price factor
5171,good wrong size purchase product receive wrong size like one second
5172,exelent good product comfortable
5173,suck suck
5174,size design not accurate product good but.size design not accurate
5175,bit low quality quality product not expect
5176,not happy product not happy product soul not good not comfortable
5177,size issue exchange soon possible everything finebut size issue choose exchange want product want size
5178,quality good side whole tear quality good side whole tear
5179,not expect loudly_crying_face reasonable price difference one shoe aprt good not well
5182,wish show ad product advertisement put put day there's hole toe
5183,not value money not comfort
5184,product good accord price good item worth money(rs
5185,good product nice product
5186,need improve like material stitch think miss
5187,not good quality not good
5188,good nice
5189,avrage leg shoe short damage tight
5190,not like expect pic like another real totally different ok
5191,looks good feeling discomfort beacouse narrow sole middle part shoe much narrow.feels discomfort look shoe nice
5192,poor quality show quality money..lace hole damage within two days..if money i'll recommend another option
5193,hi add attractive real not expect kindly mindful add want customer retention value money..even one rupee thanks
5195,show something send something bad qulty look
5196,okish shoe comfortable get dirty easily...also back part shoe hurt walk ankle get bruise
5198,hi soul not good quality
5199,light weight not broad foot fit broad foot front little sleak upper circle also small
5200,thumbs_down shoe comfortable order grey green colour receive grey pink colour disappoint delivery
5201,need improve fitment part size good time wear face issue wear shoe
5202,nice shoe comportable run light weight workout wonderful
5203,ok product good look perfect fit hurt feets even use one week
5204,nice comfortable
5205,not smooth inner part shoe running_shoe not smooth cause rash skin first time
5206,ok slightly tight
5207,different colour deliver shoe good different colour delivered.i order blue colour beige colour deliver
5210,shoe good bt small damage
5211,size shape difference not much satisfied product..one pair slightly shape difference other..look like second
5212,not good not good
5213,okay much dirt prone look good wash every outing
5214,looks good look okay check pic see look like delivered...last time buy unistar result really good.lets see asian work out...will update use time
5215,good quality tat price perfect
5217,not bad thin fibre shoe start come month rough use
5218,good short life shoe excellent short life span use daily min light jog min walk soul wear completely month not usable anymore purchase new pair however go asian could not find quality cheap product range
5219,shoe lace small comfort lvl decent look
5220,three star good small size
5222,recommend buy comfortable get ugly often use liked fit expect durable good lookd not strong last month le
5223,not value money not good.started unstitched
5224,good shoe good shoe
5225,value money shoe actually light weight slight discomfort initially period time usage adjust
5227,big appear not fit kid year good..less big
5228,product unbox receive used
5229,okk look like not work fir marathon...and not comfortable summer season....you use winter
5231,worth cost slight improvement need good shoe scope inner sole need harder legs not need movement soft cushion time external sole even thick improve ease walk walk average kms per day heel start pain km dont expect new green lace breathe top must little firm hold legs tight yes toe able move within space available toe move not hold leg shoe nicely price improvement could really threaten product like nike adidas
5232,ok nyc ok quality
5233,men's run shoe shoe ok look great fitting bit tight net high size loose though design picture look appeal even normal walk senior citizen feel bit hard knee land foot every step wish softer
5234,okay comfort oksize okcolour okbutproduct upper finishing not good
5236,"nice shoe product nice,but one thing focus must deliver item expect time not day order.you mention order date april can't arrange money per time"
5237,three star good wear problem strap shoelace go inside
5238,toe pain shoe material shoe good light weight not comfortable toe start one hour point light weightness not comfortable face_with_steam_from_nose
5239,decent shoe although shoe not expect plastic cloth amount good enough pair shoe
